Model,Store,Item,RMSSE,MASE,SMAPE,MARRE,RMSE,MAE,OPE
TCN,5,809882,0.6956058,0.4711144,121.73352,5.0986376,1.5204171,0.6555391,74.83853
TCN,14,514144,1.4557354,1.0317966,136.99722,3.596171,2.358276,0.69634944,69.24877
TCN,49,828630,0.76102287,0.65015614,139.90404,8.272717,2.2123246,1.1463622,3.0704808
TCN,2,215896,0.6303556,0.52677333,113.52461,8.093571,1.2154577,0.7230257,73.97575
TCN,49,804932,1.5618507,1.9676245,156.05031,12.273101,3.340899,2.082468,160.10497
TCN,16,575630,0.45243865,0.5173433,199.043,5.3100476,0.2732047,0.13275118,344.43628
TCN,45,310671,0.608313,0.76778203,141.82945,7.0051484,2.3353875,1.3255897,36.964653
TCN,17,463903,0.57696927,0.5664898,131.83893,10.923708,1.1370102,0.74905425,2.2873056
TCN,9,525902,0.548964,0.57892627,157.67717,13.147953,1.0791193,0.7700944,23.208422
TCN,15,114790,0.5133867,0.50147843,131.10161,8.8121805,1.0954281,0.6873501,7.2826934
TCN,25,938129,0.7332332,0.71468186,179.27731,5.895352,2.0879714,0.8816231,80.996124
TCN,28,208514,0.4019284,0.38212833,121.59049,8.053097,0.96890396,0.58608645,1.7436332
TCN,13,1012473,0.5074108,0.64272803,138.5777,12.083478,4.122286,2.527023,2.4734645
TCN,37,1047686,,,,,,,
TCN,25,456870,0.7073044,0.7143688,157.97984,13.293392,1.0312151,0.6544439,109.64667
TCN,44,464906,0.5936569,0.6257149,170.2112,12.615995,0.92794716,0.6097731,47.42138
TCN,16,213788,0.6889332,0.60596186,140.14023,11.031084,1.4872664,0.87400126,33.669357
TCN,12,594045,3.7909684,15.119646,156.15294,40.909435,3.3028905,2.8125236,411.19864
TCN,7,1696038,,,,,,,
TCN,44,575630,1.1580528,0.6678055,127.298935,4.8643193,1.4641509,0.60930413,57.510582
TCN,31,315753,1.446425,2.148623,190.9563,9.333674,0.8351272,0.44801635,235.46454
TCN,30,377978,1.3264642,2.0285566,194.73137,10.34996,0.93234086,0.5002481,36.705414
TCN,45,765518,0.6804977,0.65703154,130.66307,11.934523,1.1001891,0.74590766,198.29619
TCN,26,1005461,0.6797738,0.6035655,193.193,5.4439335,0.68298554,0.3175628,33.188766
TCN,19,838407,0.37879652,0.5587093,184.3816,24.636084,0.49507102,0.41060138,233.32797
TCN,46,582863,0.7098378,0.7140255,128.60121,3.6853178,3.2296295,1.0899013,26.939045
TCN,30,627887,1.9106458,1.6667644,192.3872,4.644452,1.5861192,0.5786987,90.561714
TCN,45,363868,0.57775307,0.6671407,121.07945,11.626718,1.9229224,1.3322281,23.807076
TCN,17,1157462,0.5915552,0.6659661,131.30522,11.437879,1.6349201,1.0130693,39.86831
TCN,31,215356,0.50471205,0.5354655,173.65797,12.278858,0.9444417,0.65779597,16.151152
TCN,28,1121515,0.4808301,0.81570077,146.5444,14.457419,2.6324782,1.8613927,83.43277
TCN,5,1463800,,,,,,,
TCN,40,554152,0.79245603,0.8219638,141.46877,12.334206,1.3333647,0.8521815,73.64953
